ID,Name_lang
456,ПОКАЗАТЬ ЯРЛЫК только ОТКЛЮЧЕНО
457,Слабоумие
458,Гнедой конь
459,Серый волк
461,Праведное пламя Вкл
463,Aura Overlap TEST 1
464,Aura Overlap TEST 2
465,Аура благочестия
467,Шипы
468,Белый жеребец
470,Черный жеребец
471,Игреневый жеребец
472,Пегий конь
474,Неловкость
475,Снятие малого проклятия
476,Ледяной щит
477,Превращение в свинью
478,Ледяная стрела
479,Звериные когти
481,Элементаль воды
482,Сброс
483,Огненный шар
484,Морозный доспех
485,Ледяные оковы
486,Снятие проклятья
487,Замедление
488,Подводное дыхание
490,Ледяной щит
491,Отмычка Кадгара
493,Отмычка Кадгара
494,Ледяная стрела
495,Превращение в овцу
496,Похищение маны
497,Кольцо льда
498,Божественная защита
499,Облик кошки
502,Огненный шар
504,Печать защиты
506,Ледяной доспех
507,Неловкость II
509,Слабоумие II
512,Ледяные оковы
513,Элементаль земли
514,Wyatt Test
515,Малая невидимость
517,Скачок
518,Призыв червя
519,Призрачный волк
520,Ледяные оковы
521,Лунный огонь
522,SPELLDEFENSE (DND)
526,Выведение яда
527,Рассеивание заклинаний
528,Излечение болезни
529,Молния
530,Подчинение (контроль)
531,Молния
532,Щит молний
533,Непреклонная воля
534,Всплеск лавы
535,Защита от темной магии
536,Выведение яда
537,Неумирающая сила
538,Волна исцеления
539,Лунный огонь
540,Исчезновение заболевания
541,Сопротивление огню
543,Защита от огня
546,Хождение по воде
547,Волна исцеления
548,Молния
550,Уничтожение яда
552,Снятие болезни
553,Кровожадность II
555,Дух дикого волка
556,Астральное возвращение
557,Щит молний
558,Развеяние магии
559,Экзорцизм
560,Доспехи духа
561,Всплеск лавы
562,Хождение по воде
563,Лунный огонь
565,Волна исцеления
566,Молния
567,Неумирающая сила
568,Волшебный вихрь
569,Уничтожение яда
570,Дальнее зрение
571,Исчезновение заболевания
573,Лунный огонь
574,Искупление
575,Непреклонная воля
577,Астральное возвращение
578,Черный волк
579,Красный волк
580,Большой лесной волк
581,Снежный волк
585,Кара
586,Уход в тень
587,Сотворение пищи
588,Внутренний огонь
589,Слово Тьмы: Боль
591,Кара
592,Слово силы: Щит
594,Слово Тьмы: Боль
595,Молитва Обороны
596,Молитва исцеления
597,Сотворение пищи
598,Кара
600,Слово силы: Щит
601,Мастер мечей
602,Внутренний огонь
603,Проклятие рока
604,Ослабление магии
605,Контроль над разумом
606,Гниение разума
607,Создание камня огня
608,Сотворение пищи
609,Внутренний огонь
610,Слово Тьмы: Боль
611,Печать жертвы
612,Божественная кара
613,Малое исцеление
614,Слово Тьмы: Неловкость
615,Рассеивание заклинаний
616,Слово Тьмы: Боль
618,Молитва исцеления
619,Сотворение пищи
620,Божественная кара
622,Малое исцеление
624,Внутренний огонь
625,Проклятие Архимонда
626,Печать мощи
627,Контроль над разумом
628,Гниение разума
633,Возложение рук
635,Свет небес
639,Свет небес
642,Божественный щит
643,Аура благочестия
647,Свет небес
650,Кипящая кровь
651,Слово Света: Щит
652,Ошеломление
653,Печать мощи
654,Страх
655,Кипящая кровь
656,Благодать
657,Создание большого камня здоровья
659,Божественный щит
661,Кипящая кровь
662,Печать мощи
663,Страх
664,Свет небес
665,Телепортация: Штормград
668,Всеобщий язык
669,Орочий язык
670,Язык таурахэ
671,Дарнасский язык
672,Дворфийский язык
673,Малая броня
674,Бой двумя оружиями
676,Разоружение
685,Гнев небес
686,Стрела Тьмы
687,Шкура демона
688,Призыв беса
689,Похищение жизни
690,Огненная стрела II
691,Призыв охотника Скверны
692,Terror (TEST)
693,Создание крошечного камня души
694,Дразнящий удар
695,Стрела Тьмы
696,Шкура демона
697,Призыв демона Бездны
698,Ритуал призывания
699,Похищение жизни
700,Сон
701,Огненная стрела
702,Проклятие слабости
703,Гаррота
704,Проклятие безрассудства
705,Стрела Тьмы
706,Демонический доспех
707,Жертвенный огонь
709,Похищение жизни
710,Изгнание
711,Адское Пламя
712,Призыв суккуба
713,Изгнание нежити
714,Похищение жизни
719,Создание камня души
720,Запутывание
721,Стрела Тьмы
722,Шкура демона
724,Колодец Света
725,Похищение жизни
726,Сон
727,Увечье
729,Проклятие слабости
730,Канал здоровья
731,Запутывание
732,Стрела Тьмы
733,Демонический доспех
734,Жертвенный огонь
735,Божественная защита
736,Похищение жизни
739,Debuff Fire Resist (TEST)
740,Спокойствие
741,Дворфийский
742,Распыление
743,Слиться с тенью
744,Яд
745,Сеть
746,Первая помощь
747,Призыв изображений
748,Удар посохом II (отключено)
749,Огненный посох
750,Латы
751,Удар посохом (отключено)
752,Удар посохом IV (отключено)
753,Огненный посох II
755,Канал здоровья
758,Огневик - постоянное действие
759,Сотворение агата маны
766,Элементаль воды
768,Облик кошки
769,Размах
770,Волшебный огонь
772,Кровопускание
774,Омоложение
775,Древесный облик
776,Рассеяние чар
778,Волшебный огонь
779,Размах
780,Размах
781,Отрыв
782,Шипы
783,Походный облик
784,Волшебный огонь
785,Истинное счастье
786,Шипы
788,Омоложение
789,Божественное спасение
790,Гнев деревьев
791,Рассеяние чар
792,Спокойствие
793,Волшебный огонь
794,Инициализация изображений
795,Шипы
796,Лечение питомца
797,Рассекающий удар
798,Вызывающий крик
799,Двойной телепорт
800,Двойной телепорт
802,Мутация жука
804,Взрыв жука
806,Страсть
812,Периодическое сожжение маны
813,Language Thalassian (NYI)
814,Language Draconic (NYI)
815,Наречие демонов
816,Language Titan (NYI)
817,Language Old Tongue (NYI)
818,Обычный костер
819,Крепость
820,Регенерация
821,Медитация
822,Сопротивление магии
823,Сопротивление силам природы
824,Верховая езда: конь
825,Верховая езда: волк
826,Верховая езда: баран
827,Верховая езда: конь кошмаров
828,Верховая езда: тигр
829,Прочный череп
830,Бесстрашие
831,Swimming (NYI)
833,Зеленый чай
834,Малая броня
835,Приливное подчинение
836,LOGINEFFECT
837,Ледяная стрела
838,Ледяная стрела
839,Ускорение II
842,Эфирный облик
844,Ледяной доспех
845,Рассекающий удар
846,Огненный столб
848,Сопротивление силам природы
849,Броня стихий
850,Беспощадная взбучка
851,Превращение в овцу
852,Превращение в цыпленка
853,Молот правосудия
854,Огненный шар
855,Слабоумие III
857,Отмычка Кадгара
858,Отмычка Кадгара
860,Обновление
862,Похищение маны
863,Размывание III
864,Печать праведности
865,Кольцо льда
866,Кольцо льда
867,Неловкость III
870,Обновление
871,Глухая оборона
872,Огненный столб
874,Защита от огня
877,Неистовство стихий
879,Экзорцизм
880,Лунный огонь
882,Божественная кара
883,Призыв питомца
885,Невидимость
886,Невидимость
890,Обновление
894,Скачок
895,Элементаль огня
897,Призвать разъяренного программиста
898,Создание зелья страсти
900,Всплеск лавы
902,Доспехи духа
905,Щит молний
906,Щит молний
908,Громовая стрела
910,Непреклонная воля
913,Волна исцеления
914,Волна исцеления
915,Молния
918,Создание камня чар
920,Цепная молния
921,Обшаривание карманов
922,Чутье на нежить
924,Всплеск лавы
926,Раскат грома
928,Око Килрогга
930,Цепная молния
931,Экзорцизм
932,Восстановление духа II
935,Доспехи духа
936,Оберег святости
939,Волна исцеления
940,Большая волна исцеления
943,Молния
944,Молния
945,Щит молний
946,Щит молний
950,Мыслебомба
952,Всплеск лавы
956,Проклятие косноязычия
959,Волна исцеления
960,Большая волна исцеления
962,Лунный огонь
964,Исцеление
967,Групповое астральное возвращение
968,Дух дикого волка II
970,Слово Тьмы: Боль
971,Слово Тьмы: Боль
973,Священная защита
976,Защита от темной магии
977,Защита от темной магии
979,Порча
980,Проклятие агонии
981,Проклятие агонии
982,Воскрешение питомца
983,Исцеление
984,Кара
985,Божественная кара
988,Рассеивание заклинаний
989,Рассеивание заклинаний
990,Сотворение пищи
991,Сотворение пищи
992,Слово Тьмы: Боль
993,Слово Тьмы: Боль
994,Молитва Обороны II
996,Молитва исцеления
997,Молитва исцеления
999,Слово Тьмы: Неловкость
1002,Звериный глаз
1003,Слово Тьмы: Одурманивание
1004,Кара
1005,Божественная кара
1006,Внутренний огонь
1007,Внутренний огонь
1008,Усиление магии
1009,Беспощадная взбучка
1010,Проклятие маразма
1011,Изгнание нежити
1012,Мастер мечей
1013,Сила героя
1014,Проклятие агонии
1015,Проклятие агонии
1017,Чутье на демонов
1020,Божественный щит
1021,Божественный щит
1022,Благословение защиты
1023,Печать защиты
1025,Порча
1026,Свет небес
1027,Свет небес
1029,Проклятие агонии
1031,Проклятие слабости
1032,Аура благочестия
1033,Залп огня
1035,Защита от огня
1037,Печать ярости
1038,Благословение спасения
1039,Печать спасения
1042,Свет небес
1043,Свет небес
1044,Благословение cвободы
1045,Страх
1049,Создание камня здоровья
1050,Жертвоприношение
1053,Антимагия
1054,Эффект малого камня огня
1055,Глухая оборона
1056,Медленный яд II
1058,Омоложение
1059,Омоложение
1062,Гнев деревьев
1063,Гнев деревьев
1064,Цепное исцеление
1065,Деморализующий крик
1066,Водный облик
1070,Волшебный огонь
1075,Шипы
1076,Шипы
1079,Разорвать
1082,Когти
1084,Огненная стрела III
1086,Демонический доспех
1087,Демонический доспех
1088,Стрела Тьмы
1089,Стрела Тьмы
1090,Сон
1091,Сон
1094,Жертвенный огонь
1095,Жертвенный огонь
1096,Огненная стрела IV
1098,Порабощение демона
1101,Канал маны
1105,Печать мудрости
1106,Стрела Тьмы
1107,Порча
1108,Проклятие слабости
1109,Проклятие слабости
1112,Теневая звезда II
1114,Владение уклонением
1116,Щит Хаоса
1117,Лечение питомца
1120,Похищение души
1121,Запутывание
1122,Инфернал
1123,Ритуал Рока
1124,Адское Пламя II
1126,Знак дикой природы
1127,Пища
1129,Пища
1130,Метка охотника
1131,Пища
1132,Критический удар
1133,Питье
1135,Питье
1137,Питье
1138,Хрустальная защита
1139,Ледяной взгляд
1140,Размывание
1141,Аура великолепия
1142,Ледяная стрела
1146,Регенерация
1147,Регенерация
1148,Регенерация
1149,Регенерация
1150,Внутреннее зрение
1151,Порыв
1152,Очищение
1153,Исцеление
1159,Первая помощь
1160,Деморализующий крик
1161,Вызывающий крик
1163,Крепость
1164,Крепость
1165,Крепость
1166,Крепость
1167,Огненный щит
1168,Превращение
1169,Слабоумие
1171,Неловкость
1172,Сотворение: факел
1173,Огненный шар
1174,Морозный доспех
1175,Ледяные оковы
1176,Снятие малого проклятия
1177,Двойная эмпатия
1178,Облик медведя (пассивный эффект)
1179,Звериные когти
1180,Кинжалы
1181,Регенерация
1182,Регенерация
1183,Регенерация
1185,Сопротивление огню
1186,Сотворение: отмычка
1187,Ускорение
1188,Огненный щит II
1189,Сопротивление силам Тьмы
1191,Ледяная стрела
1192,Превращение
1193,Слово Тьмы: Молчание
1194,Кольцо льда
1195,Аура великолепия II
1196,Снежная буря
1197,Создание малого камня огня
1198,Огненный шар
1199,Размывание II
1200,Морозный доспех
1201,Неловкость II
1203,Слабоумие II
1206,Скорость
1208,Ледяные оковы
1210,Сотворение агата маны
1211,Ледяная стрела
1212,Ускорение II
1213,Сопротивление огню
1214,Ледяной доспех
1217,Сопротивление магии льда
1218,Броня стихий
1219,Превращение
1220,Аура великолепия III
1223,Слово Тьмы: Молчание
1224,Размывание III
1225,Кольцо льда
1226,Элементаль земли
1227,Неловкость III
1228,Ледяной доспех
1229,Неистовство стихий
1231,Слабоумие III
1233,Ледяная буря II
1234,Tony's God Mode
1236,Воскрешение питомца
1241,Конус холода
1242,Элементаль огня
1243,Слово силы: Стойкость
1244,Слово силы: Стойкость
1245,Слово силы: Стойкость
1246,Слово Света: Мощь
1247,Слово Света: Мощь
1248,Слово Света: Мощь
1249,Сотворение пищи
1250,Сотворение пищи
1251,Сотворение пищи
1252,Внутренний огонь
1253,Внутренний огонь
1254,Внутренний огонь
1255,Слово силы: Стойкость
1256,Слово силы: Стойкость
1257,Слово силы: Стойкость
1258,Слово Тьмы: Боль
1259,Слово Тьмы: Боль
1260,Слово Тьмы: Боль
1261,Слово Тьмы: Боль
1262,Слово Света: Защита
1263,Слово Света: Защита
1264,Слово Света: Защита
1265,Уход в тень
1266,Ослабление магии
1267,Усиление магии
1268,Излечение болезни
1269,Снятие болезни
1275,Кара
1276,Кара
1277,Слово силы: Щит
1278,Слово силы: Щит
1279,Защита от темной магии
1280,Защита от темной магии
1281,Слово Тьмы: Неловкость
1282,Слово Тьмы: Неловкость
1283,Рассеивание заклинаний
1284,Рассеивание заклинаний
1285,Молитва Обороны
1286,Молитва Обороны II
1287,Молитва исцеления
1288,Молитва исцеления
1290,Обычный костер
1291,Проклятие Архимонда
1292,Проклятие маразма
1293,Контроль над разумом
1295,Гниение разума
1296,Проклятие агонии
1297,Проклятие агонии
1298,Слово силы: Щит
1299,Сопротивление магии льда
1300,Кара
1301,Кара
1302,Damage Immunity Test
1303,Щит молний
1304,Щит молний
1305,Щит молний
1306,Непреклонная воля
1307,Непреклонная воля
1308,Непреклонная воля
1312,Доспехи духа
1313,Доспехи духа
1314,Доспехи духа
1315,Выведение яда
1316,Уничтожение яда
1318,Неумирающая сила
1319,Неумирающая сила
1320,Неумирающая сила
1321,Горение Духа
1322,Горение Духа II
1323,Горение Духа III
1324,Молния
1325,Молния
1326,Волна исцеления
1327,Волна исцеления
1328,Кровожадность
1329,Кровожадность II
1330,Кровожадность III
1331,Сопротивление силам природы
1332,Сопротивление силам природы II
1333,Развеяние магии
1336,Песнь восстановления
1337,Песнь восстановления II
1338,Хождение по воде
1339,Цепная молния
1340,Цепная молния
1341,Восстановление духа
1342,Восстановление духа II
1343,Удар грома
1344,Удар грома
1345,Дальнее зрение
1348,Землетрясение
1349,Землетрясение II
1350,Дух дикого волка
1351,Дух дикого волка II
1352,Астральное возвращение
1353,Групповое астральное возвращение
1354,Волна исцеления
1355,Волна исцеления
1356,Волна исцеления
1357,Молния
1358,Молния
1361,Горение Духа IV
1362,Горение Духа V
1363,Щит молний
1364,Непреклонная воля
1365,Неумирающая сила
1366,Призыв беса
1367,Похищение жизни
1368,Похищение жизни
1369,Похищение жизни
1370,Огненная молния
1371,Огненная стрела II
1372,Огненная стрела III
1373,Изучить призывание охотника Скверны
1374,Жертвенный огонь
1375,Жертвенный огонь
1376,Жертвенный огонь
1377,Создание крошечного камня души
1378,Нечестивая броня
1379,Нечестивая броня II
1380,Нечестивая броня III
1381,Стрела Тьмы
1382,Стрела Тьмы
1383,Шкура демона
1384,Демонический доспех
1385,Призыв демона Бездны
1386,Эхо Лордерона
1387,Нечестивое бешенство II
1388,Нечестивое бешенство III
1391,Увечье
1393,Проклятие слабости
1394,Проклятие слабости
1395,Теневая звезда
1396,Теневая звезда II
1397,Страх
1398,Страх II
1399,Антимагия
1401,Адское Пламя
1402,Адское Пламя II
1403,Призыв суккуба
1404,Демонический доспех
1406,Стрела Тьмы
1407,Стрела Тьмы
1408,Раскол души
1409,Раскол души II
1410,Огненная стрела IV
1411,Огненная стрела V
1412,Щит Хаоса
1413,Инфернал
1414,Волшебный огонь
1415,Волшебный огонь
1416,Волшебный огонь
1417,Дремота
1418,Дремота II
1419,Дремота III
1420,Шипы
1421,Шипы
1422,Шипы
1423,Кровопускание
1424,Бой двумя руками
1425,Сковывание нежити
1426,Медленный яд
1427,Медленный яд II
1428,Омоложение
1429,Омоложение
1430,Омоложение
1431,Омоложение
1432,Размах
1433,Размах
1434,Древесный облик
1435,Гнев деревьев
1436,Гнев деревьев
1437,Рассеяние чар
1439,Спокойствие
1441,Походный облик
1444,Цепное исцеление
1445,Разорвать
1446,Водный облик
1448,Когти
1449,Чародейский взрыв
1450,Чародейский дух II
1451,Чародейский дух III
1452,Чародейский дух IV
1453,Чародейский дух V
1454,Жизнеотвод
1455,Жизнеотвод
1456,Жизнеотвод
1459,Чародейский интеллект
1460,Чародейский интеллект
1461,Чародейский интеллект
1462,Знание зверя
1463,Щит маны
1464,Сокрушение
1467,Чародейский взрыв
1468,Чародейский дух II
1469,Чародейский дух III
1470,Чародейский дух IV
1471,Чародейский дух V
1472,Чародейский интеллект
1473,Чародейский интеллект
1474,Чародейский интеллект
1475,Чародейский интеллект
1476,Жизнеотвод
1477,Жизнеотвод
1478,Жизнеотвод
1479,Горение духа
1481,Щит маны
1482,Сокрушение
1483,Пылающий интеллект III
1484,Пылающий интеллект IV
1490,Проклятие стихий
1494,Выслеживание животных
1495,Укус мангуста
1499,Замораживающая ловушка
1509,ИМ всегда ВКЛ
1510,Град стрел
1513,Отпугивание зверя
1515,Приручение зверя
1516,Скорострельность
1522,Pet Upgrade (NYI)
1523,Pet Upgrade II (NYI)
1524,Pet Upgrade III (NYI)
1525,Major Pet Upgrade (NYI)
1526,Major Pet Upgrade II (NYI)
1527,Major Pet Upgrade III (NYI)
1528,Освободить хозяина
1535,Тотем кольца огня
1536,Дальний выстрел II
1538,Зарядка
1539,Эффект кормления питомца
1540,Град стрел
1543,Осветительная ракета
1544,Критический выстрел
1545,Критический выстрел
1547,Выслеживание животных
1549,Укус мангуста
1552,Замораживающая ловушка
1557,Полная скорость
1558,Убойный выстрел II
1559,Убойный выстрел III
1560,Убойный выстрел IV
1561,Убойный выстрел V
1563,Аура меткого выстрела
1564,Град стрел
1567,Отпугивание зверя
1568,Освободить хозяина
1571,Ожог души
1572,Лик смерти
1574,Don't Reuse
1579,Приручение зверя
1580,Скорострельность
1581,Скорострельность
1582,Скорострельность
1583,Автоматическая стрельба
1584,Кормление питомца
1588,Улучшение питомца
1589,Улучшение питомца II
1590,Улучшение питомца III
1591,Хорошее улучшение питомца I
1592,Хорошее улучшение питомца II
1593,Хорошее улучшение питомца II
1598,Град стрел
1599,Сопротивление огню
1602,Воля охотника
1603,Осветительная ракета
1604,Замедление
1605,Удар героя
1606,Удар героя
1607,Удар героя
1608,Удар героя
1610,Удар героя
1611,Удар героя
1612,Оборонительная стойка
1630,Двуручный удар
1631,Двуручный удар II
1632,Двуручный удар IV
1633,Двуручный удар V
1634,Двуручный удар III
1640,Исступление
1646,Разоружение
1647,Замедляющий удар II
1650,Замедляющий удар III
1663,Варварский штурм III
1664,Варварский штурм IV
1665,Варварский штурм V
1666,Варварский штурм
1667,Варварский штурм II
1668,Варварский штурм III
1669,Варварский штурм IV
1670,Варварский штурм V
1671,Удар щитом
1672,Удар щитом
1675,Удар щитом
1676,Удар щитом
1677,Удар щитом
1680,Вихрь
1685,Вихрь
1698,Ударная волна
1702,Ударная волна
1706,Левитация
1708,Могучий удар III
1709,Могучий удар IV
1710,Призывание коня Скверны
1711,Могучий удар II
1712,Могучий удар III
1713,Могучий удар IV
1714,Проклятие косноязычия
1715,Подрезать сухожилия
1716,Подрезать сухожилия
1719,Безрассудство
1722,Безрассудство
1725,Отвлечение
1728,Отвлечение
1731,Защитный удар
1732,Защитный удар II
1733,Защитный удар
1734,Защитный удар II
1735,Устрашающий рев
1736,Устрашающий рев
1737,Устрашающий рев
1738,Рывок
1739,Morale Boost (NYI)
1740,Боевой клич
1741,Сбор войск
1742,Попятиться
1747,Попятиться
1748,Попятиться
1749,Попятиться
1750,Попятиться
1751,Попятиться
1752,Коварный удар
1753,Попятиться
1754,Попятиться
1755,Попятиться
1756,Попятиться
1757,Коварный удар
1758,Коварный удар
1759,Коварный удар
1760,Коварный удар
1761,Коварный удар
1762,Коварный удар
1763,Коварный удар
1764,Коварный удар
1765,Коварный удар
1766,Пинок
1767,Пинок
1768,Пинок
1769,Пинок
1771,Пинок
1772,Пинок
1773,Пинок
1774,Пинок
1775,Пинок
1776,Парализующий удар
1777,Парализующий удар
1780,Парализующий удар
1781,Парализующий удар
1784,Незаметность
1785,Незаметность
1786,Незаметность
1787,Незаметность
1789,Незаметность
1790,Незаметность
1791,Незаметность
1792,Незаметность
1794,"Дуновение, внушающее уныние"
1795,"Дуновение, внушающее уныние II"
1796,"Дуновение, внушающее уныние III"
1797,"Дуновение, внушающее уныние IV"
1798,"Дуновение, внушающее уныние V"
1799,"Дуновение, внушающее уныние"
1800,"Дуновение, внушающее уныние II"
1801,"Дуновение, внушающее уныние III"
1802,"Дуновение, внушающее уныние IV"
1803,"Дуновение, внушающее уныние V"
1804,Взлом замка
1809,Вскрытие замков
1810,Вскрытие замков
1811,Ожог
1817,Скользящий удар
1818,Скользящий удар II
1819,Скользящий удар III
1820,Скользящий удар IV
1821,Скользящий удар V
1822,Глубокая рана
1823,Глубокая рана
1824,Глубокая рана
1825,Lend Pet (NYI)
1826,Правосудие мудрости - среднее
1827,Глубокая рана
1828,Глубокая рана
1829,Глубокая рана
1830,Огненная глыба
1831,Взрывная волна
1833,Подлый трюк
1834,Набирание скорости
1837,Сопротивление светлой магии
1838,Подлый трюк
1842,Обезвреживание ловушки
1845,Обезвреживание ловушки
1846,Обнаружение ловушек
1847,Одноручные мечи
1848,Божественная песнь
1849,Звериные когти II
1850,Порыв
1851,Портал: Штормград
1852,Немота
1853,Рык
1856,Исчезновение
1857,Исчезновение
1858,Исчезновение
1859,Исчезновение
1860,Безопасное падение
1862,Мягкое падение
1864,Оцепенение
1865,Оцепенение
1872,Свет небес
1873,Свет небес
1874,Свет небес
1875,Аура благочестия
1876,Аура благочестия
1877,Аура благочестия
1878,Возложение рук
1881,Призыв личинки из Улья Зара
1885,Печать стойкости (NSE)
1886,Печать стойкости II (NSE)
1887,Печать стойкости III (NSE)
1893,Печать тьмы
1894,Печать тьмы II
1895,Печать огня * (NSE)
1896,Печать огня II * (NSE)
1897,Божественный щит
1898,Божественный щит
1900,Священное беспокойство
1901,Священное беспокойство II
1902,Священное беспокойство IV
1904,Священное беспокойство III
1905,Разделенная мощь
1906,Изнуряющая атака
1907,Аура праведности III
1908,Высшее исцеление со временем
1909,Благословение cвободы
1911,Благословение защиты
1912,Благословение спасения
1913,Свет небес
1914,Свет небес
1916,Жертвоприношение (NSE)
1918,Удар посохом III (отключено)
1920,Огненный посох III
1921,Огненный посох IV
1922,Огненный посох V
1923,Огненный посох
1924,Огненный посох II
1925,Огненный посох III
1926,Огненный посох IV
1927,Огненный посох V
1928,Удар посохом
1929,Удар посохом II
1930,Удар посохом III
1931,Удар посохом IV
1932,Удар посохом V
1933,Вихрящийся звездный удар II
1934,Вихрящийся звездный удар
1935,Вихрящийся звездный удар II
1936,Телепорт в Старую Наковальню
1937,Очищение
1938,Сила медведя
1940,Реактивная вспышка
1942,Огненный бес
1943,Рваная рана
1944,Бес тени
1946,Больший бес
1948,Больший огненный бес
1949,Адское Пламя
1950,Больший бес тени
1952,Бес Пустоты
1953,Скачок
1954,Большой бес Пустоты
1966,Ложный выпад
1978,Укус змеи
1980,Обстрел
1981,Огонь II
1982,Огонь III
1983,Огонь IV
1984,Огонь V
1985,Снайперский выстрел
1988,Дезориентирующий выстрел
1989,Дезориентирующий выстрел II
1990,Дезориентирующий выстрел III
1991,Дезориентирующий выстрел IV
1992,Дезориентирующий выстрел V
1993,Дурманящий выстрел
1994,Дурманящий выстрел II
1995,Дурманящий выстрел III
1996,Выстрел в бедро
1997,Выстрел в бедро II
1998,Выстрел в бедро III
2000,Выстрел в голову
2001,Выстрел в голову II
2002,Выстрел в голову III
2003,Укус змеи
2004,Глушащий выстрел
2005,Обстрел
2006,Воскрешение
2008,Дух предков
2010,Воскрешение
2013,Воскрешение
2014,Дух предков
2016,Воскрешение
2018,Кузнечное дело
2020,Ученик кузнеца
2021,Подмастерье кузнеца
2023,Восполнение маны
2024,Лечебное зелье
2049,Молитва исцеления
2050,Малое исцеление
2051,Малое исцеление
2052,Малое исцеление
2053,Малое исцеление
2054,Исцеление
2055,Исцеление
2056,Малое исцеление
2057,Малое исцеление
2058,Исцеление
2059,Исцеление
2060,Большее исцеление
2061,Быстрое исцеление
2065,Большее исцеление
2066,Быстрое исцеление
2067,Большее исцеление
2068,Большее исцеление
2069,Большее исцеление
2070,Ошеломление
2075,Опаляющий тотем
2076,Тотем оков земли
2090,Омоложение
2091,Омоложение
2092,Омоложение
2093,Омоложение
2094,Ослепление
2095,Ярость стойки (+3 Нап/Защ)
2096,Внутреннее зрение
2097,Внутреннее зрение
2098,Потрошение
2108,Кожевничество
2110,FIRESTAFF (DND)
2115,Медитация
2116,Сопротивление магии
2117,Мастерство парирования
2118,Владение уклонением
2119,Сопротивление силам природы
2120,Огненный столб
2121,Огненный столб
2123,Священное сродство
2124,Огненный столб
2125,Огненный столб
2132,Холод
2133,Холод II
2134,Холод III
2135,Холод IV
2136,Огненный взрыв
2137,Огненный взрыв
2138,Огненный взрыв
2139,Антимагия
2140,Эффект стазиса
2141,Огненный взрыв
2142,Огненный взрыв
2143,Огненный взрыв
2147,Исправление
2148,Периодическая буря Тени
2149,Сшитые вручную кожаные сапоги
2152,Комплект легкой брони
2153,Сшитые вручную кожаные штаны
2154,Подмастерье кожевника
2155,Кожевничество (ученик)
2156,Легкий зимний плащ
2157,Легкие зимние сапоги
2158,Тонкие кожаные сапоги
2159,Тонкий кожаный плащ
