ID,NameSubtext_lang,Description_lang,AuraDescription_lang
122,Уровень 1,"Противники, находящиеся недалеко от заклинателя, получают $s1 ед. урона от магии льда и примерзают к месту вплоть до $d. Нанесенный урон может прервать действие.",Заморозка.
126,Призыв,"Призыв Ока Килрогга, через которое заклинатель может взирать на мир. Око быстро двигается, но очень хрупко.","Управление ""Оком Килрогга""."
128,,Снимает с заклинателя все магические эффекты и поглощает $s2 ед. магического урона в течение $d. ,Поглощение магического урона.
130,,Замедление скорости падения на $d.,Скорость падения замедлена.
131,,Позволяет цели дышать под водой в течение $d.,Дыхание под водой.
132,,"Придание способности видеть сквозь эффект ""Простая невидимость"" для дружественной цели в течение $d.",Обнаружение обычной невидимости.
133,Уровень 1,"Бросок огненного шара, который наносит $s1 ед. урона от огня единовременно и $o2 ед. урона от огня в течение $d.",$s2 урона от огня каждые $t2 $lсекунду:секунды:секунд;.
134,,"Окружение союзника щитом пламени, который наносит $3052s1 ед. урона от огня ближайшим противникам раз в $t1 сек. Время действия – $d.",Нанесение $3052s1 ед. урона от огня ближайшим противникам раз в $t1 сек.
136,Уровень 1,При поддержании восполняет вашему питомцу $s1 ед. здоровья в секунду. Время действия – $d.,Восполняет $s1 ед. здоровья в секунду.
139,Уровень 1,Излечение цели на $o1 ед. в течение $d.,Излечение $s1 ед. урона раз в $t1 сек.
142,,,
143,Уровень 2,"Бросок огненного шара, который наносит $s1 ед. урона от огня единовременно и $o2 ед. урона от огня в течение $d.",$s2 урона от огня каждые $t2 $lсекунду:секунды:секунд;.
145,Уровень 3,"Бросок огненного шара, который наносит $s1 ед. урона от огня единовременно и $o2 ед. урона от огня в течение $d.",$s2 урона от огня каждые $t2 $lсекунду:секунды:секунд;.
168,Уровень 1,"Увеличивает броню на $s1 ед. Если противник наносит заклинателю удар, скорость его передвижения может быть снижена на $6136s1%, а время между атаками увеличено на $6136s2% в течение $6136d. Маг может применять одновременно только один вид заклинания доспеха. Время действия – $d.","Броня увеличена на $s1 ед., также может замедлить атакующих противников."
172,Уровень 1,Порча цели с нанесением ей $o1 ед. урона от темной магии за $d.,$s1 ед. урона от темной магии раз в $t1 сек.
184,,"Окружение союзника щитом пламени, который наносит $3053s1 ед. урона от огня находящимся рядом противникам раз в $t1 сек. Время действия – $d.",Нанесение $3053s1 ед. урона от огня ближайшим противникам раз в $t1 сек.
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,Уровень 2,"Атака ледяной стрелой, наносящей $s2 ед. урона магии льда и снижающей скорость передвижения противника на $s1% в течение $d.",Скорость передвижения снижена на $s1%.
227,,,
228,Уровень 2,"Превращение противника в цыпленка, который не может применять заклинания и способности, снижение его урона на $s3% на время вплоть до $d.","Не способен применять заклинания и способности, урон снижен на $s3%."
246,Уровень 1,Замедление передвижения противника на $s2% и скорости атак на $s1% в течение $d.,"Скорость передвижения снижена на $s2%, а скорость атаки - на $s1%."
260,,,
261,,,
262,,,
263,,,
264,,,
265,,Уничтожение всех противников в радиусе 30 метров. Жульничество.,
266,,,
269,,,
271,,,
284,Уровень 2,"Мощная атака, увеличивающая урон в ближнем бою на $s1 ед. и сильно повышающая ваш уровень угрозы.",
285,Уровень 3,"Мощная атака, увеличивающая урон в ближнем бою на $s1 ед. и сильно повышающая ваш уровень угрозы.",
302,,,
324,Уровень 1,"Окружение заклинателя $n $lшаровой молнией:шаровыми молниями:шаровыми молниями;. Раз в несколько секунд одна из оставшихся шаровых молний поражает противника, атакующего заклинателя любым видом атаки, нанося ему $26364s1 ед. урона от сил природы. Время действия – $d.",$26364s1 ед. урона от сил природы атакующему в момент нанесения удара.
325,Уровень 2,"Окружение заклинателя $n $lшаровой молнией:шаровыми молниями:шаровыми молниями;. Раз в несколько секунд одна из оставшихся шаровых молний поражает противника, атакующего заклинателя любым видом атаки, нанося ему $26365s1 ед. урона от сил природы. Время действия – $d.",$26365s1 ед. урона от сил природы атакующему в момент нанесения удара.
331,Уровень 1,Исцеление дружественной цели на $s1 ед.,
332,Уровень 2,Исцеление дружественной цели на $s1 ед.,
339,Уровень 1,"Оплетение цели корнями, удерживающими ее на месте и наносящими $o2 ед. урона от сил природы в течение $d. Нанесение стороннего урона может прервать действие. Используется только вне помещений.",Оплетение. Нанесение урона от сил природы в $s2 ед. раз в $t2 сек.
348,Уровень 1,"Нанесение противнику $s2 ед. урона от огня, а затем дополнительно $o1 ед. урона от огня в течение $d.",$s1 ед. урона от огня раз в $t1 сек.
355,,"Провоцирует противника, чтобы он атаковал вас. Если вы уже деретесь с этим противником, провокация не сработает.",
370,Уровень 1,Развеивает $m1 $lэффект:эффекта:эффектов; с враждебной цели.,
379,,,
403,Уровень 1,Удар молнии по цели с нанесением $s1 ед. урона от сил природы.,
408,Уровень 1,"Завершающий прием, оглушающий цель. Время оглушения зависит от длины серии:
 1 прием: 1 секунда
 2 приема: 2 секунды
 3 приема: 3 секунды
 4 приема: 4 секунды
 5 приемов: 5 секунд",Оглушение.
409,,,
410,,,
411,,,
421,Уровень 1,"Поражение противника молнией, с нанесением $s1 ед. урона от сил природы, затем молния перескакивает на находящихся поблизости с целью противников. Каждый скачок снижает урон на 30%. Общее количество поражаемых целей - $x1.",
427,,Телепортация в Монастырь!,
428,,,
430,,"Восполнение $o1 ед. маны за $d. Действие эффекта прерывается, если персонаж встает с места.",Восполнение $/5;s1 ед. маны в сек.
431,,"Восполнение $o1 ед. маны за $d. Действие эффекта прерывается, если персонаж встает с места.",Восполнение $/5;s1 ед. маны в сек.
432,,"Восполнение $o1 ед. маны за $d. Действие эффекта прерывается, если персонаж встает с места.",Восполнение $/5;s1 ед. маны в сек.
433,,"Восполняет $o1 ед. здоровья за $d. Действие прерывается, если встать с места.",Восполнение $/5;s1 ед. здоровья в сек.
434,,"Восполняет $o1 ед. здоровья за $d. Действие прерывается, если встать с места.",Восполнение $/5;s1 ед. здоровья в сек.
435,,"Восполняет $o1 ед. здоровья за $d. Действие прерывается, если встать с места.",Восполнение $/5;s1 ед. здоровья в сек.
436,,Восполнение $s1 ед. маны.,
437,,Восполнение $s1 ед. маны.,
438,,Восполнение $s1 ед. маны.,
439,,Восполнение $s1 ед. здоровья.,
440,,Восполнение $s1 ед. здоровья.,
441,,Восполнение $s1 ед. здоровья.,
442,,Телепортация в Аббатство Североземья!,
443,,Телепортация в Казармы!,
444,,Телепортация на Маяк!,
445,,Телепортация в Темнолесье!,
446,,Телепортация на Кладбище!,
447,,Телепортация к древню,
448,,,
450,,,
453,Уровень 1,"Усмирение цели, в результате чего дистанция, на которой она вас атакует, сокращается на $s1 $lметр:метра:метров;. Действует только на гуманоидов уровня $v или ниже. Время действия – $d.","Уменьшение расстояния, на котором цель может атаковать вас."
454,,,
455,,Восполнение маны цели.,
456,,,
457,,,
458,,Призыв и освобождение ездового гнедого коня.,Скорость увеличена на $s2%.
459,,Призыв и освобождение ездового серого волка.,Скорость увеличена на $s2%.
461,,,
463,,,
464,,,
465,Уровень 1,"Увеличивает на $s1 ед. параметр брони участников группы, находящихся не далее, чем в $a1 $lметре:метрах:метрах;. На персонажа может действовать только одна аура от каждого паладина.",Броня усилена на $s1.
467,Уровень 1,"Наделение дружественной цели шипами, которые наносят $s1 ед. урона от сил природы атакующим при ударе. Время действия – $d.",$s1 ед. урона от сил природы атакующим.
468,,Призыв и освобождение ездового белого жеребца.,Скорость увеличена на $s2%.
470,,Призыв и освобождение ездового черного жеребца.,Скорость увеличена на $s2%.
471,,Призыв и освобождение ездового игреневого жеребца.,Скорость увеличена на $s2%.
472,,Призыв и освобождение ездового пегого коня.,Скорость увеличена на $s2%.
474,,Снижение ловкости цели на $s1 ед.,
475,,Снятие $m1 $lпроклятия:проклятий:проклятий; с дружественной цели.,
476,Уровень 1,"Обучение заклинанию ""Ледяной щит"" (уровень 1).",
477,Уровень 1,"Обучение заклинанию ""Превращение в свинью"".",
478,Уровень 1,"Обучение заклинанию ""Ледяная стрела"" (уровень 1).",
479,,,
481,Уровень 2,"Обучение заклинанию ""Элементаль воды"" (уровень 2).",
482,,,
483,Уровень 2,"Обучение заклинанию ""Огненный шар"" (уровень 2).",
484,Уровень 2,"Обучение заклинанию ""Морозный доспех"" (уровень 2)",
485,Уровень 1,"Обучение заклинанию ""Ледяные оковы"" (уровень 1).",
486,Уровень 1,"Обучение заклинанию ""Снятие проклятия"".",
487,Уровень 1,"Обучение заклинанию ""Замедление"" (уровень 1)",
488,Уровень 1,"Обучение способности ""Подводное дыхание"".",
490,Уровень 2,"Обучение заклинанию ""Ледяной щит"" (уровень 2).",
491,Уровень 1,Магическое открывание сундуков с сокровищами и прочих запертых объектов.,
493,Уровень 1,"Обучение заклинанию ""Отмычка Кадгара"" (уровень 1)",
494,Уровень 2,"Обучение заклинанию ""Ледяная стрела"" (уровень 2).",
495,Уровень 3,"Обучение заклинанию ""Превращение в овцу"".",
496,Уровень 1,"Обучение заклинанию ""Похищение маны"" (уровень 1).",
497,Уровень 1,"Обучает ""Кольцу льда"" (1-й уровень).",
498,Уровень 1,"Персонаж становится неуязвим ко всем физическим атакам и заклинаниям, но не может атаковать и использовать физические способности. Эффект длится $d. После применения данного заклинания цель нельзя снова сделать неуязвимой при помощи заклинаний ""Божественный   щит"", ""Божественная защита"", ""Благословение защиты"" на протяжении $25771d.",Персонаж неуязвим ко всем атакам и заклинаниям. Не может атаковать и применять физические способности.
499,Смена облика,,
502,Уровень 3,"Обучение заклинанию ""Огненный шар"" (уровень 3).",
504,Уровень 2,"Обучение заклинанию ""Печать защиты"" (уровень 2).",
506,Уровень 1,"Обучение заклинанию ""Ледяная броня"" (уровень 1).",
507,,Снижение ловкости цели на $s1 ед.,
509,,,
512,Уровень 2,"Сковывание противника ледяными цепями, не позволяющими ему двигаться с места в течение $d.",Оплетение.
513,,,
514,,,
515,Уровень 1,"Обучение заклинанию ""Малая невидимость"".",
517,Уровень 1,"Обучение заклинанию ""Скачок"" (уровень 1).",
518,,,
519,Уровень 2,"Обучение заклинанию ""Призрачный волк"" (уровень 2).",
520,Уровень 2,"Обучение заклинанию ""Ледяные оковы"" (уровень 2).",
521,Уровень 7,"Обучение заклинанию ""Лунный огонь"" (уровень 7).",
522,,,
526,,"Исцеление $s1 $lэффекта:эффектов:эффектов; яда, действующих на цель.",
527,Уровень 1,"Рассеивание магических эффектов с цели, снимающее $s1 $lвредоносный эффект:вредоносных эффекта:вредоносных эффектов; с союзника или $s1 $lблаготворный эффект:благотоворных эффекта:благотворных эффектов; с противника.",
528,,Снятие $s1 $lболезни:болезней:болезней; с дружественной цели.,
529,Уровень 2,Удар молнии по цели с нанесением $s1 ед. урона от сил природы.,
530,,,
531,Уровень 2,"Обучение заклинанию ""Молния"" (уровень 2).",
532,Уровень 1,"Обучение заклинанию ""Щит молний"" (уровень 1).",
533,Уровень 1,"Обучение заклинанию ""Непреклонная воля"" (уровень 1).",
534,Уровень 1,"Обучение заклинанию ""Всплеск лавы"" (уровень 1).",
535,Уровень 1,"Обучение заклинанию ""Оберег Тьмы"".",
536,Уровень 1,"Обучение заклинанию ""Выведение яда"" (уровень 1).",
537,Уровень 1,"Обучение заклинанию ""Неукротимая сила"" (уровень 1).",
538,Уровень 2,"Обучение заклинанию ""Волна исцеления"" (уровень 2).",
539,Уровень 2,"Обучение заклинанию ""Лунный огонь"" (уровень 2).",
540,Уровень 1,"Обучение заклинанию ""Исчезновение заболевания"" (уровень 1).",
541,Уровень 1,Обучение сопротивлению огню.,
543,Уровень 1,Поглощает $s1 ед. урона от огня. Время действия – $d.,Поглощает урон от огня.
546,,Наделение дружественной цели способностью ходить по воде в течение $d. Любой полученный урон снимает эффект.,Хождение по воде.
547,Уровень 3,Исцеление дружественной цели на $s1 ед.,
548,Уровень 3,Удар молнии по цели с нанесением $s1 ед. урона от сил природы.,
550,Уровень 1,"Наделение цели невосприимчивостью к яду в течение $d., а также исцеление ее от действия всех известных ядов.",Невосприимчивость к яду.
552,,"Попытка снятия с цели $s2 $lэффекта:эффектов:эффектов; болезни, и дополнительно $10872s1 $lэффекта:эффектов:эффектов; болезни раз в $t1 сек. в течение $d.",Попытка излечить болезнь в количестве $10872s1 раз в $t1 сек.
553,,,
555,,,
556,,"Мгновенно перемещает заклинателя через Круговерть Пустоты назад в ""$z"". Пункт назначения определяется тем, в какой таверне вы остановились.",
557,Уровень 2,"Обучение заклинанию ""Щит молний"" (уровень 2).",
558,Уровень 1,"Обучение заклинанию ""Развеяние магии"".",
559,Уровень 3,"Обучение заклинанию ""Экзорцизм"" (уровень 3).",
560,Уровень 2,"Обучение заклинанию ""Доспехи духа"" (уровень 2).",
561,Уровень 2,"Обучение заклинанию ""Всплеск лавы"" (уровень 2).",
562,Уровень 1,"Обучение заклинанию ""Хождение по воде"".",
563,Уровень 6,"Обучение заклинанию ""Лунный огонь"" (уровень 6).",
565,Уровень 3,"Обучение заклинанию ""Волна исцеления"" (уровень 3).",
566,Уровень 3,"Обучение заклинанию ""Молния"" (уровень 3).",
567,Уровень 2,"Обучение заклинанию ""Неукротимая сила"" (уровень 2).",
568,,,Скорость передвижения снижена на $s3%.
569,Уровень 2,"Обучение заклинанию ""Уничтожение яда"" (уровень 2)",
570,Уровень 1,"Обучение заклинанию ""Дальнее зрение"".",
571,Уровень 2,"Обучение заклинанию ""Исчезновение заболевания"" (уровень 2).",
573,Уровень 3,"Обучение заклинанию ""Лунный огонь"" (уровень 3).",
574,Уровень 1,"Обучение заклинанию ""Искупление"".",
575,Уровень 2,"Обучение заклинанию ""Непреклонная воля"" (уровень 2).",
577,Уровень 1,"Обучение заклинанию ""Астральное возвращение"".",
578,,Призыв и освобождение ездового черного волка.,Скорость увеличена на $s2%.
579,,Призыв и освобождение ездового красного волка.,Скорость увеличена на $s2%.
580,,Призыв и освобождение ездового большого лесного волка.,Скорость увеличена на $s2%.
581,,Призыв и освобождение ездового снежного волка.,Скорость увеличена на $s2%.
585,Уровень 1,Карает противника и наносит $s1 ед. урона светлой магии.,
586,Уровень 1,"Вы исчезаете из виду, в результате чего противники не могут атаковать вас в течение $d.",Уровень угрозы снижен.
587,Уровень 1,"Создает $s1 $lкекс:кекса:кексов;, чтобы обеспечить мага и $gего:ее; союзников едой.

Сотворенные предметы исчезают, если выйти из игры более чем на 15 минут.",
588,Уровень 1,"Наполняет заклинателя святой энергией, которая усиливает его броню на $s1 ед. Каждая успешная атака против жреца снимает один заряд заклинания. Заклинание действуте $d. или пока не будут сняты $n зарядов.",Броня усилена на $s1.
589,Уровень 1,"Слово Тьмы, наносящее $o1 ед. урона от темной магии за $d.",$s1 ед. урона от темной магии раз в $t1 сек.
591,Уровень 2,Карает противника и наносит $s1 ед. урона светлой магии.,
592,Уровень 2,"Создает из частички души члена группы щит, способный поглотить $s1 урона. Щит держится $d. Пока заклинатель защищен щитом, применение заклинаний не может быть прервано. Повторно наложить щит можно только через $6788d.",Поглощает урон.
594,Уровень 2,"Слово Тьмы, наносящее $o1 ед. урона от темной магии за $d.",$s1 ед. урона от темной магии раз в $t1 сек.
595,,"Усиление брони всей группы до тех пор, пока эффект не исчезнет или жрец не перестанет читать молитву.",
596,Уровень 1,Исцеление силой молитвы участников группы в радиусе $a1 м. на $s1 ед.,
597,Уровень 2,"Создает $s1 $lломоть:ломтя:ломтей; хлеба, чтобы обеспечить мага и $gего:ее; союзников едой.

Сотворенные предметы исчезают, если выйти из игры более чем на 15 минут.",
598,Уровень 3,Карает противника и наносит $s1 ед. урона светлой магии.,
600,Уровень 3,"Создает из частички души члена группы щит, способный поглотить $s1 урона. Щит держится $d. Пока заклинатель защищен щитом, применение заклинаний не может быть прервано. Повторно наложить щит можно только через $6788d.",Поглощает урон.
601,Уровень 1,Увеличение рейтинга атаки одноручными мечами на $s1 ед.,
602,Уровень 3,"Наполняет заклинателя святой энергией, которая усиливает его броню на $s1 ед. Каждая успешная атака против жреца снимает один заряд заклинания. Заклинание действуте $d. или пока не будут сняты $n зарядов.",Броня усилена на $s1.
603,,Нанесение $s1 ед. урона от темной магии в течение $d. В случае смерти жертвы от этого урона существует вероятность призыва Привратника Скверны. На игроков воздействовать нельзя.,Нанесение $s1 ед. урона от темной магии в течение $d.
604,Уровень 1,"Ослабление магии, направленной на конкретного участника группы. Урон, наносимый ему заклинаниями, снижается на $s1 ед., а воздействие целительных заклинаний – на $s2. Время действия – $d.","Урона от магии снижен на $s1 ед., а эффект от лечения - на $s2 ед."
605,Уровень 1,"Позволяет управлять гуманоидом не выше $s1 уровня, но увеличивает время между его атаками на $s3%. Время действия – $d.",Подчинение. Время между атаками увеличено на $s3%.
606,Уровень 1,Похищение у цели $o1 ед. маны за $d.,"Похищение маны, $s1 ед. раз в 5 сек."
607,,,
608,Уровень 1,"Обучение заклинанию ""Сотворение пищи"" (уровень 1).",
609,Уровень 1,"Обучение заклинанию ""Внутренний огонь"" (уровень 1).",
610,Уровень 1,"Обучение заклинанию ""Слово Тьмы: Боль"" (уровень 1).",
611,Уровень 1,"Обучение заклинанию ""Печать жертвы"" (уровень 1).",
612,Уровень 2,"Обучение заклинанию ""Божественная кара"" (уровень 2)",
613,Уровень 2,"Обучение заклинанию ""Малое исцеление"" (уровень 2).",
614,Уровень 1,"Обучение заклинанию ""Слово Тьмы: Неловкость"" (уровень 1).",
615,Уровень 1,"Обучение заклинанию ""Рассеивание заклинаний"" (уровень 1).",
616,Уровень 2,"Обучение заклинанию ""Слово Тьмы: Боль"" (уровень 2).",
618,Уровень 1,"Обучение заклинанию ""Молитва об исцелении"" (уровень 1).",
619,Уровень 2,"Обучение заклинанию ""Сотворение пищи"" (уровень 2).",
620,Уровень 3,"Обучение заклинанию ""Божественная кара"" (уровень 3)",
622,Уровень 3,"Обучение заклинанию ""Малое исцеление"" (уровень 3).",
624,Уровень 3,"Обучение заклинанию ""Внутренний огонь"" (уровень 2).",
625,Уровень 1,"Обучение заклинанию ""Проклятие Архимонда"".",
626,Уровень 3,"Обучение заклинанию ""Печать мощи"" (уровень 3).",
627,Уровень 1,"Обучение заклинанию ""Контроль над разумом"".",
628,Уровень 1,"Обучение заклинанию ""Гниение разума"".",
633,Уровень 1,"Исцеляет дружественную цель на величину, равную максимальному запасу здоровья паладина. При использовании паладин расходует всю свою ману.",
635,Уровень 1,Исцеляет дружественную цель на $s1 ед. здоровья.,
639,Уровень 2,Исцеляет дружественную цель на $s1 ед. здоровья.,
642,Уровень 1,"Защита паладина от любого урона и любых заклинаний на $d, с увеличением времени между его атаками на $s2%. При использовании данного заклинания цель нельзя снова сделать неуязвимой при помощи заклинаний ""Божественный   щит"", ""Божественная защита"", ""Благословение защиты"" в течение $25771d.",Невосприимчивость ко всем атакам и заклинаниям. Увеличение времени между атаками на $s2%.
643,Уровень 3,"Увеличивает на $s1 ед. параметр брони участников группы, находящихся не далее, чем в $a1 $lметре:метрах:метрах;. На персонажа может действовать только одна аура от каждого паладина.",Броня усилена на $s1.
647,Уровень 3,Исцеляет дружественную цель на $s1 ед. здоровья.,
650,Уровень 1,"Обучение заклинанию ""Кипящая кровь"" (уровень 1).",
651,Уровень 5,"Обучение заклинанию ""Святое слово: Щит"" (уровень 5).",
652,Уровень 1,,
653,Уровень 1,"Обучение заклинанию ""Печать мощи"" (уровень 1).",
654,Уровень 2,"Обучение заклинанию ""Страх"" (уровень 2).",
655,Уровень 2,"Обучение заклинанию ""Кипящая кровь"" (уровень 2).",
656,Уровень 2,"Обучение заклинанию ""Свет небес"" (уровень 2).",
657,Уровень 4,Обучение созданию большого камня здоровья.,
659,Уровень 1,"Обучение заклинанию ""Божественный щит"" (уровень 1).",
661,Уровень 3,"Обучение заклинанию ""Кипящая кровь"" (уровень 3).",
662,Уровень 2,"Обучение заклинанию ""Печать мощи"" (уровень 2).",
663,Уровень 3,"Обучение заклинанию ""Страх"" (уровень 3).",
664,Уровень 3,"Обучение заклинанию ""Свет небес"" (уровень 3).",
665,,,
668,,,
669,,,
670,,,
671,,,
672,,,
673,,Усиление брони на $s1 ед. на $d.,Броня усилена на $s1 ед.
674,Пассивная,Позволяет брать в левую руку одноручное оружие и оружие для правой руки.,
676,,Обезоруживает противника на $d.,Без оружия!
685,Уровень 1,,
686,Уровень 1,"Поражение противника теневой стрелой, наносящей $s1 ед. урона от темной магии.",
687,Уровень 1,Увеличивает параметр брони персонажа на $m1 ед. и восполняет $s2 ед. здоровья каждые 5 сек. в течение $d.,Параметр брони увеличен на $s1; Каждые 5 сек. восстанавливается $s2 ед. здоровья.
688,Призыв,"Призыв беса, повинующегося чернокнижнику.",
689,Уровень 1,Передача $s1 ед. здоровья от цели к заклинателю раз в 1 сек. Время действия – $d.,Похищение $s1 ед. здоровья для заклинателя раз в 1 сек.
690,,Нанесение цели $s1 ед. урона от огня.,
691,Призыв,"Призыв Охотника Скверны, повинующегося чернокнижнику.",
692,,,
693,,"Создает малый камень души. Если персонаж, душа которого заключена в камне, погибнет, он сможет воскреснуть с $3026s1 ед. здоровья и $3026q1 ед. маны.

Созданные камни исчезнут при выходе из игры более чем на 15 мин.",
694,Уровень 1,"Провокационный удар, наносящий $s1 ед. урона, создающий средний уровень угрозы и вынуждающий цель атаковать вас в течение $d.",Провокация.
695,Уровень 2,"Поражение противника теневой стрелой, наносящей $s1 ед. урона от темной магии.",
696,Уровень 2,Увеличивает параметр брони персонажа на $m1 ед. и восполняет $s2 ед. здоровья каждые 5 сек. в течение $d.,Параметр брони увеличен на $s1; Каждые 5 сек. восстанавливается $s2 ед. здоровья.
697,Призыв,"Призыв демона Бездны, повинующегося чернокнижнику.",
698,,"Проведение ритуала, призывающего указанного члена группы. Требуется тот, кто будет читать заклинание, и 2 члена группы. Все участники должны находиться вне боя. Щелкнуть правой кнопкой мыши по порталу и не двигаться, пока ритуал не завершится.",
699,Уровень 2,Передача $s1 ед. здоровья от цели к заклинателю раз в 1 сек. Время действия – $d.,Похищение $s1 ед. здоровья для заклинателя раз в 1 сек.
700,Уровень 1,Усыпляет противника на время до $d. Цель проснется при получении урона. Одновременно можно усыпить одну цель.,Сон.
701,,Нанесение цели $s1 ед. урона от огня.,
702,Уровень 1,Снижение наносимого целью урона на $s1 ед. на $d. Один чернокнижник может наложить проклятие только на одну цель.,Наносимый физический уменьшен на $s1 ед.
703,Уровень 1,"Удушающий прием, наносящий противнику $o1 ед. урона за $d. Прием увеличивает силу вашей атаки. Для выполнения приема необходимо находиться за спиной цели в состоянии незаметности. Длина серии приемов увеличивается на $s2.",$s1 ед. урона раз в $t1 сек.
704,Уровень 1,"Проклятие цели, увеличивающее силу ее атаку ближнего боя на $s1 ед., но ослабляющее броню на $s2 ед. на $d. Проклятые таким образом противники станут невосприимчивы к страху и ужасу и не убегут с поля боя. Один чернокнижник может наложить проклятье только на одну цель.","Сила атаки ближнего боя повышена на $s1 ед., броня ослаблена на $s2 ед. Неспособность бежать с поля боя и невосприимчивость к Страху и Ужасу."
